	ketene (A)	ethanol (A)	Acetaldehyde (A)	acetone (A)	Acetic acid (A)	acetic anhydride (A)				
Injection date	Peak area	Peak area	Peak area	Peak area	Peak area	Peak area	T	H2	N2	AA
780	20938.008	19232.44	20126.764	1864601.447	8580546.547	64353.489	340	28	109	7
784	15478.075	18784.159	17798.253	1921998.85	9454233.027	73285.563	340	28	109	7
788	15883.148	19971.177	17476.926	1970370.673	10403136.33	83809.645	340	28	109	7
792	15445.624	18676.907	17743.483	1922872.732	9342129.925	103358.331	340	28	109	7
796	15535.551	19287.324	17130.007	1947873.885	9880398.656	79782.927	340	28	109	7
800	15356.132	19500.785	17340.945	1951344.044	9605520.92	99758.146	340	28	109	7
804	15010.22	17444.355	16755.609	1906928.647	8909042.992	67923.335	340	28	109	7
808	15294.544	18789.906	16944.258	1911965.94	9411730.488	70959.461	340	28	109	7
812	15551.49	18319.086	16705.982	1866908.512	9220531.511	72743.428	340	28	109	7
816	13131.966	14370.788	16341.061	592623.93	8589710.87	77324.316	340	28	109	7
820	17079.088	19597.56	23212.502	1876894.617	8893491.417	68444.091	340	28	109	7
824	15095.833	18702.602	16934.166	1863497.94	9578758.956	80332.502	340	28	109	7
828	15310.007	18085.04	17087.957	1920210.176	8843408.426	68120.611	340	28	109	7
832	17026.57	18889.379	17862.708	2134237.81	9272823.417	70880.066	350	28	109	7
836	19812.135	17758.089	20093.013	2620337.125	8886147.329	62389.082	350	28	109	7
840	21285.504	18867.458	20623.316	2834928.47	9286307.308	61439.962	350	28	109	7
844	20083.075	18655.479	20157.771	2584543.001	9542724.459	86190.822	350	28	109	7
848	22518.873	21331.895	24336.623	2785324.757	9221544	64785.593	350	28	109	7
852	20355.47	17570.764	20500.994	2673998.989	8029025.337	52265.492	350	28	109	7
856	20762.68	18700.617	20965.076	2718294.719	8968915.206	67753.853	350	28	109	7
860	20472.348	17898.661	20543.945	2677320.219	8201586.96	55218.139	350	28	109	7
864	20328.089	18030.654	20572.996	2677930.486	8201432.192	54106.275	350	28	109	7
868	20547.91	18369.674	20218.841	2654694.298	8768417.449	63015.235	350	28	109	7
872	20084.306	16137.74	20546.983	2544253.016	7248000.605	46248.544	350	28	109	7
876	21914.539	19192.005	22177.543	2583590.978	7701883.264	52142.309	350	28	109	7
880	20329.837	17708.09	20367.798	2649971.434	7994527.045	55238.944	350	28	109	7
884	20608.714	18128.703	21241.923	2607763.303	8223753.881	57626.612	350	28	109	7
888	20220.439	18706.346	20006.612	2683752.82	8477859.327	55188.383	350	28	109	7
892	22478	20397.231	22147.269	2669922.903	8584821.179	61500.187	350	28	109	7
896	20377.527	18164.057	19951.7	2623917.366	8083130.076	53526.786	350	28	109	7
900	20806.417	19172.297	22687.819	2574563.107	7890107.49	54781.718	350	28	109	7
904	21653.289	20180.582	21535.305	2688631.301	8134417.363	78403.838	350	28	109	7
908	20674.531	19694.045	19542.651	2667531.659	8874483.962	62007.06	350	28	109	7
912	19828.187	17419.7	20054.573	2559277.477	7638529.144	103018.46	350	28	109	7
916	20487.006	18623.642	19877.934	2583352.059	8281121.384	61251.252	350	28	109	7
920	24976.443	18932.008	23616.653	2553728.869	7680137.29	56200.758	350	28	109	7
924	20266.121	20026.06	19722.468	2659857.086	8910080.599	66404.475	350	28	109	7
928	19857.227	17320.836	20338.709	2562225.227	7037330.37	43026.365	350	28	109	7
