	ketene (A)	ethanol (A)	Acetaldehyde (A)	acetone (A)	Acetic acid (A)	acetic anhydride (A)				
Injection date	Peak area	Peak area	Peak area	Peak area	Peak area	Peak area	T	N2	H2	aa
784	22564.202	26951.692	24002.345	1402185.712	9486048.942	117676.544	340	109	28	7
788	18304.32	22412.587	19528.512	1359619.636	7450605.736	91424.137	340	109	28	7
792	18609.616	25043.209	17899.087	1402369.078	8955746.524	111564.229	340	109	28	7
796	18338.051	21589.863	19802.026	1326634.48	7174279.231	88330.77	340	109	28	7
800	18828.515	24818.482	19813.906	1370528.333	9099420.902	110937.712	340	109	28	7
804	19871.264	23132.277	21165.179	1283154.011	7751266.039	108498.538	340	109	28	7
808	18740.393	24801.325	18937.184	1377674.409	8458475.364	100693.929	340	109	28	7
812	19063.35	27218.9	19383.05	1418589.843	9372026.394	118457.772	340	109	28	7
816	19223.888	25889.047	19228.014	1393715.902	9398930.007	112199.62	340	109	28	7
820	19456.422	24096.236	19853.899	1342124.089	7854182.254	112049.32	340	109	28	7
824	18838.608	25283.635	18830.257	1382883.24	8285206.138	96586.547	340	109	28	7
828	19274.59	28403.516	18016.37	1426884.547	10201206.4	155830.675	340	109	28	7
832	23372.662	28438.492	21153.808	1753916.233	9814790.095	130343.256	340	109	28	7
836	24644.185	26187.541	20600.189	1801854.331	8561233.242	97074.542	340	109	28	7
840	25602.776	27541.105	22414.013	2075572.316	8763245.698	110716.098	340	109	28	7
844	25320.693	27326.058	23107.413	1936838.593	8384441.553	93748.039	340	109	28	7
848	25191.223	26747.948	23420.822	1956638.798	7831128.73	82052.905	340	109	28	7
852	25599.822	28301.928	21864.848	2064760.794	9272111.74	108737.59	340	109	28	7
856	27009.614	31623.013	23616.222	2049542.312	9271278.553	107034.056	340	109	28	7
860	28340.338	30979.944	30432.601	1993966.299	8783163.846	97838.879	340	109	28	7
864	25881.728	29721.858	22619.591	2032989.445	9106527.206	98978.358	340	109	28	7
868	25016.683	24933.482	22365.421	1866453.942	7653922.448	86064.136	340	109	28	7
872	26192.178	30953.997	21807.137	2038919.963	10266836.06	121128.962	340	109	28	7
876	25511.417	27829.978	21938.76	1958459.1	8626121.331	96799.817	340	109	28	7
880	27813.359	30914.283	23506.531	2013491.217	9021780.786	101658.252	340	109	28	7
884	24713.511	23398.925	22311.636	1808669.997	389.306	95322.579	350	109	28	7
888	26315.149	31188.134	22728.241	2013531.313	10273928.84	125167.885	350	109	28	7
892	26470.449	31272.398	22207.365	2043098.62	9600049.227	118399.345	350	109	28	7
896	41300.521	31405.074	25033.542	1929925.856	8538250.599	97361.601	350	109	28	7
900	25700.75	23851.816	22781.221	1853395.025	6927806.726	91387.608	350	109	28	7
904	21943.044	20397.652	4157.992	1866074.97	7173775.406	73818.087	350	109	28	7
908	32254.085	30603.36	24834.778	1917697.343	9055261.747	105772.044	350	109	28	7
912	25790.624	22709.57	22335.711	1809161.437	6496260.797	66483.281	350	109	28	7
916	27844.285	33370.973	21589.344	2097835.621	10367222.72	122317.777	350	109	28	7
920	26265.898	24608.242	21616.826	1820826.401	7418167.55	127566.577	350	109	28	7
